,file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0,/content/ravdess/Actor_09/03-02-05-02-01-02-09.wav,0 days 00:00:00,0 days 00:00:04.137479167,31.899849,0.11392434,31.119135,32.126186,34.299683,3.1805477,170.31332,151.16716,48.612137,57.930527,0.5792764,1.1821166,0.019817898,0.21258795,1.2923601,1.2725421,12.809691,5.438293,10.151476,4.4746084,0.3039955,1.2453514,14.16583,1.0928004,-6.79832,-2.1127875,14.059022,0.72856396,11.164655,1.2283394,0.039389253,1.5411854,1.3847847,0.5376278,2.5157945,1.6138867,4.054812,3.2998633,9.602587,0.6621228,872.17377,0.25114077,1114.5186,0.33989733,-120.9954,-0.7598959,1832.0975,0.10517107,1038.4978,0.25531355,-116.85479,-0.7906715,2759.3503,0.07760153,1018.016,0.32855508,-117.31762,-0.7828182,-5.099857,-0.980196,10.594897,0.53097135,0.054152057,0.8722312,-0.009716958,-1.654163,0.644491,0.49145454,25.185154,0.4393992,-14.1461935,-0.98795897,17.52095,0.6865877,13.388212,1.1496495,-5.822017,16.074743,0.0026406057,0.010585784,0.040695388,1.9417477,1.7199018,0.24428572,0.14607798,0.2422222,0.38380486,-31.844854
0,/content/ravdess/Actor_09/03-02-02-01-02-02-09.wav,0 days 00:00:00,0 days 00:00:04.904895833,32.91477,0.11713409,30.991646,32.077374,34.51001,3.518364,22.45861,12.891843,18.663198,10.381702,0.27890462,0.8550026,0.021378009,0.28978947,0.499251,0.477873,2.384343,1.8244606,4.209145,2.5515904,0.06669063,0.96666723,16.581831,1.3686564,1.6904378,7.585709,9.376209,1.0563816,-2.4939492,-6.5647116,0.014437286,1.4093959,0.8282887,0.95620763,8.781485,0.43469825,0.44359624,23.037348,17.467869,0.58616984,737.1119,0.37664315,1236.5989,0.19856073,-97.672264,-0.9827855,1775.9874,0.17638478,834.121,0.27285486,-91.44882,-0.97934574,2830.7683,0.13921174,617.08905,0.35756454,-92.514046,-0.9581802,-13.521466,-0.5666347,19.327684,0.44908497,0.11302999,0.28295255,-0.024062196,-0.70099056,0.10548668,0.50244135,31.362602,0.4715768,1.0386964,12.257474,9.413208,1.257439,-5.5379047,-3.4422162,2.925848,5.8936176,0.06020663,0.008861653,0.01209554,1.6359918,0.6198348,0.9466666,0.67400956,0.4825,0.39776722,-40.56489
0,/content/ravdess/Actor_09/03-01-08-01-01-02-09.wav,0 days 00:00:00,0 days 00:00:03.336666667,22.676817,0.100871675,20.70822,22.336777,24.484938,3.7767181,278.01218,199.33215,32.39347,11.107407,0.056699697,1.3281025,0.0014701759,0.012154067,0.10118833,0.09971815,1.955552,1.186604,1.9595509,1.1561111,0.014593947,1.439374,14.350555,1.1506269,5.855692,1.6017028,11.386167,1.1263571,5.6920385,1.480134,0.026124002,0.81292033,1.4586146,0.6738106,3.5277057,0.71366477,4.398648,1.084422,25.141901,0.33688292,627.6824,0.5174844,1359.6995,0.23298934,-164.58305,-0.43985093,1592.478,0.18990843,1047.9839,0.38494688,-165.74095,-0.41578552,2595.3687,0.15404318,903.3556,0.31218818,-166.86316,-0.39969838,-15.128446,-0.4422896,22.630806,0.41179577,0.051467847,0.5535588,-0.016453188,-0.62620854,0.043236695,0.42358276,32.503384,0.40017605,5.770534,2.5851305,22.671457,0.730355,4.344646,2.2029884,-8.975198,17.567583,0.058530983,0.00847928,0.010017183,2.4096386,1.5384616,0.116000004,0.06916647,0.42666668,0.45613104,-55.517246
0,/content/ravdess/Actor_09/03-01-08-01-02-01-09.wav,0 days 00:00:00,0 days 00:00:03.436770833,22.533909,0.10430232,20.345518,22.525347,23.612085,3.2665672,47.046265,11.491361,10.759799,30.34639,0.0840654,1.1789397,0.009661879,0.013491573,0.17368045,0.16401857,2.0000792,1.2045511,2.2808473,1.6176623,0.024187861,1.2147938,14.612711,1.2708844,9.730288,1.015086,14.762955,0.7141776,8.78659,1.2487421,0.052594084,1.6161909,1.3790903,0.5327045,2.1225994,1.2013215,3.5535939,1.1721557,23.628607,0.3214121,669.4069,0.41271445,1296.6445,0.21979593,-145.37555,-0.5887779,1669.1085,0.17065895,992.6898,0.23746455,-145.5367,-0.5688355,2659.0269,0.13066581,903.6426,0.50795025,-147.17068,-0.5459967,-14.907421,-0.45970947,20.58995,0.3311324,0.04863246,0.70223856,-0.014866444,-0.97293156,0.05819898,0.4237638,34.78067,0.35420045,0.97451526,12.482137,19.695446,0.6903783,5.0609927,2.9506474,-12.195312,21.33314,-0.012753168,0.00680153,0.010126306,2.3391814,1.1869437,0.24249999,0.18267114,0.46199998,0.44092628,-52.76556
0,/content/ravdess/Actor_09/03-01-06-01-01-02-09.wav,0 days 00:00:00,0 days 00:00:03.169833333,21.760767,0.0644401,20.625711,21.353432,23.023727,2.398016,77.0346,107.239876,10.659228,19.842524,0.048395075,1.1481037,0.0054244837,0.013339016,0.1069257,0.10150122,2.0017622,1.1694626,0.9976346,0.45233458,0.01122204,1.3621436,8.799466,1.5977702,8.198917,1.0344334,11.812166,0.95860785,8.127818,1.0909861,0.032841347,0.9621508,1.5211579,0.7166345,3.8721724,0.4380298,1.6191422,2.571874,22.09207,0.3303509,596.8297,0.31724945,1217.8912,0.17066652,-170.32654,-0.37441853,1678.8304,0.11805905,905.7067,0.39974946,-171.41011,-0.35371485,2696.9468,0.09018926,1008.44977,0.39210087,-172.21425,-0.34236917,-17.090427,-0.41300806,24.045433,0.3278372,0.013933101,2.8243048,-0.008612431,-1.0948144,0.031613212,0.51510406,28.352423,0.42346188,9.423851,0.7532571,23.301657,0.41101447,12.271496,0.8666004,-6.5552354,15.377993,0.031798806,0.0074945306,0.007813334,2.857143,1.9543974,0.07333333,0.049216073,0.35142857,0.40119207,-58.46368
0,/content/ravdess/Actor_09/03-01-05-01-01-02-09.wav,0 days 00:00:00,0 days 00:00:03.570250,23.279032,0.09547148,21.619692,23.520102,25.29849,3.6787987,239.71375,109.27665,35.32599,20.204687,0.114558674,1.3257114,0.006120527,0.019247252,0.21918291,0.21306238,4.190183,3.3588998,3.3818288,2.7194433,0.035742298,1.5698289,13.282482,1.1750853,3.8694348,2.6434762,12.489491,1.0028696,11.077558,0.9964957,0.033064123,1.1101606,1.2850949,0.6948761,2.4809678,1.2932909,4.9556956,1.2572511,21.949865,0.3589363,819.0799,0.29981166,1100.2899,0.29947808,-146.88419,-0.56094974,1885.3567,0.114888504,927.1047,0.27337942,-148.25888,-0.54056513,2819.7546,0.09536113,951.59973,0.38185135,-149.27713,-0.5262206,-12.589549,-0.6788539,17.876753,0.4118127,0.038080208,1.1937622,-0.009967181,-1.6998249,0.092070244,0.785064,29.67336,0.5030516,-0.10901539,-120.58161,23.125286,0.5708657,11.55891,1.1470376,-9.655003,20.820436,0.03099731,0.012948079,0.016991494,2.247191,1.7094017,0.15833333,0.07966945,0.34714285,0.42757502,-49.10939
0,/content/ravdess/Actor_09/03-01-05-02-02-02-09.wav,0 days 00:00:00,0 days 00:00:03.970645833,42.81546,0.08050354,41.3649,43.700775,45.176582,3.8116837,508.19278,718.6889,87.7623,79.374916,1.2626147,1.1909338,0.024875926,0.37944067,2.90367,2.8787942,23.728771,16.093426,25.125505,19.549423,1.2308939,1.3731213,10.319946,1.3263295,-7.6385713,-2.3905315,2.8506598,3.9913106,-2.357945,-8.318031,0.04954605,0.8127217,1.7192557,0.4193242,2.9091854,1.2921714,8.348251,1.2524602,17.721437,0.49239156,891.1889,0.27779165,1070.5513,0.24194023,-131.1717,-0.7094225,1898.749,0.13361727,880.1699,0.3006756,-122.45684,-0.75822294,2923.5261,0.10481505,720.20886,0.47371072,-125.39331,-0.71214527,-5.5321426,-0.9753441,14.148215,0.3584903,0.05517316,0.70543957,-0.012644825,-1.0373013,2.8924923,0.5375746,16.892641,0.55240697,-22.329376,-0.71607333,-5.5778813,-1.6479338,-20.55154,-0.80812687,-9.002593,21.38127,-0.021210527,0.009385778,0.11940613,1.7676768,1.2787725,0.308,0.12607934,0.37666667,0.4174393,-20.462954
0,/content/ravdess/Actor_09/03-02-05-01-01-01-09.wav,0 days 00:00:00,0 days 00:00:04.137458333,31.811954,0.08167222,30.656704,31.904871,33.19383,2.5371246,68.64929,57.38338,41.544743,27.050331,0.46854702,1.1517135,0.012485784,0.20732877,1.0118513,0.9993655,8.100196,5.1311126,6.641455,2.9626238,0.19529492,1.2564548,14.96977,1.1908402,-5.6000586,-2.6106715,13.891146,0.8361949,7.7421165,1.3312817,0.02242212,2.2442272,1.0064933,0.67436606,6.163927,0.55609506,4.3676915,2.041903,14.441677,0.4863855,863.2155,0.31287476,1115.5796,0.3161734,-112.63448,-0.8305049,1850.6731,0.1415165,1026.5403,0.25708672,-110.56751,-0.8348345,2770.4272,0.10941069,887.05133,0.28948703,-111.55781,-0.81808484,-7.605213,-0.74417526,12.804964,0.47191662,0.068800576,0.6535797,-0.012005851,-1.2253605,0.38994622,0.5864188,29.104574,0.39273918,-12.235015,-1.1603137,18.321678,0.72694826,9.738621,1.2990059,-1.2015383,10.770529,0.048522975,0.012577279,0.02229341,1.9417477,1.4742016,0.315,0.13238202,0.29285714,0.40251762,-33.735966
0,/content/ravdess/Actor_09/03-02-02-01-01-02-09.wav,0 days 00:00:00,0 days 00:00:06.039354167,32.806953,0.04741934,31.56788,32.322094,34.015205,2.4473248,20.488476,9.1931095,9.525763,4.996761,0.19884734,0.8894179,0.0025437204,0.19971272,0.37245584,0.36991212,1.5938718,1.20404,3.2374585,1.74616,0.038498607,1.230101,23.889784,0.8175721,6.076674,1.7275563,2.0966773,5.692163,-1.8797526,-8.393185,0.008471463,1.479422,0.5614679,1.1309687,10.33547,0.29943475,2.9570143,3.4467332,24.732857,0.5071667,607.46185,0.47343612,1311.5674,0.22818314,-88.30296,-1.0710688,1558.9181,0.22601837,1007.3498,0.28477392,-86.313515,-1.0101982,2610.7832,0.18093506,663.7598,0.43211985,-89.9303,-0.9397132,-17.781778,-0.45436975,24.005365,0.35696542,0.12289393,0.22074214,-0.029145153,-0.5916156,0.05864672,0.83072996,36.750298,0.27883524,7.791376,1.530511,1.1314465,12.607081,-4.9220715,-3.8213892,-3.5250673,12.050926,0.10459172,0.016330298,0.0085377935,1.4950166,0.67001677,0.91499996,0.43436736,0.35833332,0.4746022,-43.619694
0,/content/ravdess/Actor_09/03-01-05-02-01-01-09.wav,0 days 00:00:00,0 days 00:00:03.803812500,40.18736,0.18909894,37.343075,43.15013,45.157616,7.814541,184.21344,97.98938,253.83887,307.70145,1.2633253,1.2940637,0.026104424,0.28367865,3.1247535,3.098649,33.33435,19.132523,36.7066,25.738934,1.2973844,1.4341488,11.276595,0.9949708,-7.051944,-2.1285703,6.966422,1.8202181,2.7412171,6.8311768,0.057359118,1.1257805,1.992817,0.4395568,0.6921363,6.0518584,9.670313,1.5480974,12.408128,1.1195612,854.94476,0.2736203,976.3848,0.27048054,-136.66084,-0.66554654,1890.6798,0.12005164,789.21173,0.4410239,-130.78831,-0.68917274,2875.176,0.095081806,738.6763,0.27330518,-132.17068,-0.66853404,-5.076175,-1.3278087,11.946903,0.50581396,0.044865377,1.2119483,-0.014974981,-1.0737317,3.1360042,0.59760004,16.035475,0.59220856,-18.517977,-0.78826797,-0.042131312,-342.47485,-14.374505,-1.3796563,-10.438159,22.072405,-0.02565862,0.00675793,0.30075133,1.8469657,2.1390374,0.1575,0.14051245,0.2875,0.39742136,-20.279722
